filename,code,cpp_code
1.py,"def twoSum(self, nums, target):
        nums_hash = {}
        for i in range(len(nums)):
            if target - nums[i] in nums_hash: 
                return [nums_hash[target - nums[i]], i]
            nums_hash[nums[i]] = i","auto twoSum(auto nums, auto target) {
    nums_hash = {}
    for i in range(len(nums)):
    if target - nums[i] in nums_hash:
    return [nums_hash[target - nums[i]], i]
    nums_hash[nums[i]] = i
}"
10.py,"def isMatch(self, s, p):
        return bool(re.match(r""%s"" %p, s)) and re.match(r""%s"" %p, s).group(0) == s ","auto isMatch(auto s, auto p) {
    return bool(re.match(r""%s"" %p, s)) and re.match(r""%s"" %p, s).group(0) == s
}"
100.py,"def isSameTree(self, p, q):
        return p == q if not p or not q else p.val == q.val and self.isSameTree(p.left, q.left) and self.isSameTree(p.right, q.right)","auto isSameTree(auto p, auto q) {
    return p == q if not p or not q else p.val == q.val and self.isSameTree(p.left, q.left) and self.isSameTree(p.right, q.right)
}"
1000.py,"def mergeStones(self, stones, K):
        n = len(stones)
        if (n - 1) % (K - 1): return -1
        prefix = [0] * (n + 1)
        for i in range(n):
            prefix[i + 1] = prefix[i] + stones[i]

        import functools
        @functools.lru_cache(None)
        def dp(i, j):
            if j - i + 1 < K: return 0
            res = min(dp(i, mid) + dp(mid + 1, j) for mid in range(i, j, K - 1))
            if (j - i) % (K - 1) == 0:
                res += prefix[j + 1] - prefix[i]
            return res
        return dp(0, n - 1)","auto mergeStones(auto stones, auto K) {
    n = len(stones)
    if (n - 1) % (K - 1): return -1
    prefix = [0] * (n + 1)
    for i in range(n):
    prefix[i + 1] = prefix[i] + stones[i]
    
    import functools
    @functools.lru_cache(None)
    def dp(i, j):
    if j - i + 1 < K: return 0
    res = min(dp(i, mid) + dp(mid + 1, j) for mid in range(i, j, K - 1))
    if (j - i) % (K - 1) == 0:
    res += prefix[j + 1] - prefix[i]
    return res
    return dp(0, n - 1)
}"
1001.py,"def gridIllumination(self, N: int, lamps: List[List[int]], queries: List[List[int]]) -> List[int]:
        lampsOn = set()
        rowsOn = collections.defaultdict(int)
        colsOn = collections.defaultdict(int)
        diagOnTopLeftBottomRight = collections.defaultdict(int)
        diagOnBottomLeftTopRight = collections.defaultdict(int)
        for r, c in lamps:
            lampsOn.add((r, c))
            rowsOn[r] += 1
            colsOn[c] += 1
            diagOnTopLeftBottomRight[c-r] += 1
            diagOnBottomLeftTopRight[c+r-N] += 1
        
        result = []
        for r, c in queries:
            if rowsOn[r] > 0 or colsOn[c] > 0 or diagOnTopLeftBottomRight[c-r] > 0 or diagOnBottomLeftTopRight[c+r-N] > 0:
                result.append(1)
            else:
                result.append(0)
            adjacentLamps = [(r, c), (r, c-1), (r, c+1), (r-1, c), (r-1, c-1), (r-1, c+1), (r+1, c), (r+1, c-1), (r+1, c+1)]
            for r, c in adjacentLamps:
                if (r, c) in lampsOn:
                    lampsOn.discard((r, c))
                    rowsOn[r] -= 1
                    colsOn[c] -= 1
                    diagOnTopLeftBottomRight[c-r] -= 1
                    diagOnBottomLeftTopRight[c+r-N] -= 1
        return result","auto gridIllumination(auto N, auto lamps, auto queries) {
    lampsOn = set()
    rowsOn = collections.defaultdict(int)
    colsOn = collections.defaultdict(int)
    diagOnTopLeftBottomRight = collections.defaultdict(int)
    diagOnBottomLeftTopRight = collections.defaultdict(int)
    for r, c in lamps:
    lampsOn.add((r, c))
    rowsOn[r] += 1
    colsOn[c] += 1
    diagOnTopLeftBottomRight[c-r] += 1
    diagOnBottomLeftTopRight[c+r-N] += 1
    
    result = []
    for r, c in queries:
    if rowsOn[r] > 0 or colsOn[c] > 0 or diagOnTopLeftBottomRight[c-r] > 0 or diagOnBottomLeftTopRight[c+r-N] > 0:
    result.append(1)
    else:
    result.append(0)
    adjacentLamps = [(r, c), (r, c-1), (r, c+1), (r-1, c), (r-1, c-1), (r-1, c+1), (r+1, c), (r+1, c-1), (r+1, c+1)]
    for r, c in adjacentLamps:
    if (r, c) in lampsOn:
    lampsOn.discard((r, c))
    rowsOn[r] -= 1
    colsOn[c] -= 1
    diagOnTopLeftBottomRight[c-r] -= 1
    diagOnBottomLeftTopRight[c+r-N] -= 1
    return result
}"
1002.py,"def commonChars(self, A: List[str]) -> List[str]:
        cnt, res = {s: [float('inf'), 0] for s in string.ascii_lowercase}, []
        for w in A:
            for k, v in collections.Counter(w).items():
                cnt[k][0] = min(cnt[k][0], v)
                cnt[k][1] += 1
        for k in cnt:
            if cnt[k][1] == len(A):
                res += [k] * cnt[k][0]
        return res","auto commonChars(auto A) {
    cnt, res = {s: [float('inf'), 0] for s in string.ascii_lowercase}, []
    for w in A:
    for k, v in collections.Counter(w).items():
    cnt[k][0] = min(cnt[k][0], v)
    cnt[k][1] += 1
    for k in cnt:
    if cnt[k][1] == len(A):
    res += [k] * cnt[k][0]
    return res
}"
1003.py,"def isValid(self, S: str) -> bool:
        stack = []
        for i in S:
            if i == 'c':
                if stack[-2:] != ['a', 'b']:
                    return False
                stack.pop()
                stack.pop()
            else:
                stack.append(i)
        return not stack","auto isValid(auto S) {
    stack = []
    for i in S:
    if i == 'c':
    if stack[-2:] != ['a', 'b']:
    return false
    stack.pop()
    stack.pop()
    else:
    stack.append(i)
    return not stack
}"
1004.py,"def longestOnes(self, A: List[int], K: int) -> int:
        zeros, res = [-1] + [i for i, c in enumerate(A) if not c] + [len(A)], 0
        for j in range(K + 1, len(zeros)):
            res = max(res, zeros[j] - zeros[j - K - 1] - 1)
        return res or K and len(A)","auto longestOnes(auto A, auto K) {
    zeros, res = [-1] + [i for i, c in enumerate(A) if not c] + [len(A)], 0
    for j in range(K + 1, len(zeros)):
    res = max(res, zeros[j] - zeros[j - K - 1] - 1)
    return res or K and len(A)
}"
1005.py,"def largestSumAfterKNegations(self, A: List[int], K: int) -> int:
        heapq.heapify(A)
        for _ in range(K):
            val = heapq.heappop(A)
            heapq.heappush(A, -val)
        return sum(A)","auto largestSumAfterKNegations(auto A, auto K) {
    heapq.heapify(A)
    for _ in range(K):
    val = heapq.heappop(A)
    heapq.heappush(A, -val)
    return sum(A)
}"
1006.py,"def clumsy(self, N: int) -> int:
        if N <= 2:
            return N
        if N <= 4:
            return N + 3
        if N % 4 == 0:
            return N + 1
        elif N % 4 <= 2:
            return N + 2
        else:
            return N - 1","auto clumsy(auto N) {
    if N <= 2:
    return N
    if N <= 4:
    return N + 3
    if N % 4 == 0:
    return N + 1
    elif N % 4 <= 2:
    return N + 2
    else:
    return N - 1
}"
